Time,Acceleration,PositionSetpoint,PositionSetpointError,VelocitySetpoint,VelocitySetpointError
200,-11.767231084642344,58.10978313403626,58.10978313403626,-13.106153271778226,-13.106153271778226
300,-1.163152830843919,5.743964596760093,5.743964596760093,-29.13556917787966,-29.13556917787966
400,10.545171567846545,-52.07492132269898,-52.07492132269898,-17.50495701994235,-17.50495701994235
500,12.242373831734566,-60.45616707029415,-60.45616707029415,10.74409150610967,10.74409150610967
600,2.3172047704273204,-11.442986520628741,-11.442986520628741,28.793172056000767,28.793172056000767
700,-9.807816594736945,48.43366219623182,48.43366219623182,19.507281311549136,19.507281311549136
800,-12.62172820944081,62.329522021929925,62.329522021929925,-8.297964425980924,-8.297964425980924
900,-3.453126135863633,17.052474745005593,17.052474745005593,-28.225487662339273,-28.225487662339273
1000,8.99372203078008,-44.41344212730903,-44.41344212730903,-21.356974202279797,-21.356974202279797
1100,12.902326024030076,-63.71519024212383,-63.71519024212383,5.786911336198138,5.786911336198138
1200,4.562029103856383,-22.528538784475963,-22.528538784475963,27.436957746766737,27.436957746766737
1300,-8.109257620265677,40.045716643287285,40.045716643287285,23.0395630850809,23.0395630850809
1400,-13.081971785682974,64.60232980584183,64.60232980584183,-3.2305795440742457,-3.2305795440742457
1500,-5.635237251959135,27.828332108440172,27.828332108440172,-26.433752027334815,-26.433752027334815
1600,7.161343704365112,-35.364660268469684,-35.364660268469684,-24.541882829754194,-24.541882829754194
1700,13.159259886727952,-64.98399944063185,-64.98399944063185,0.6489706324184863,0.6489706324184863
1800,6.664353445765488,-32.91038738649623,-32.91038738649623,25.22371991636695,25.22371991636695
1900,-6.157397074100319,30.406899131359598,30.406899131359598,25.852178791276042,25.852178791276042
2000,-13.133585599579188,64.85721283742808,64.85721283742808,1.937716039442375,1.937716039442375
2100,-7.6413255408573475,37.73494094250542,37.73494094250542,-23.816329104068277,-23.816329104068277
2200,5.1052729389253955,-25.211224389755035,-25.211224389755035,-26.960198782015826,-26.960198782015826
2300,13.005149808324598,-64.22296201641775,-64.22296201641775,-4.509241382111498,-4.509241382111498
